Domain;Subdomain;Skill
"Basic Living Skills	Self Managment Objective	Learner will ask for reasonable modifications in environment.";;
"Basic Living Skills	Basic Communication	BC1. Follows instructions";;
"Basic Living Skills	Basic Communication	BC2. Follows sequence of instructions";;
"Basic Living Skills	Basic Communication	BC3. Uses communication device";;
"Basic Living Skills	Basic Communication	BC4. Spontaneous requests for items and activities";;
"Basic Living Skills	Basic Communication	BC5. Requests missing items needed for a task";;
"Basic Living Skills	Basic Communication	BC6. Requests help";;
"Basic Living Skills	Basic Communication	BC7. Requests information using What, Where, Who, and When";;
"Basic Living Skills	Basic Communication	BC8. Requests information using How and Why";;
"Basic Living Skills	Basic Communication	BC9. Labels common objects";;
"Basic Living Skills	Basic Communication	BC10. Labels common people (actual individuals, not professionals)";;
"Basic Living Skills	Basic Communication	BC11. Labels common actions observed in home, school, or community";;
"Basic Living Skills	Basic Communication	BC12. Labels locations";;
"Basic Living Skills	Basic Communication	BC13. Labels adjectives";;
"Basic Living Skills	Basic Communication	BC14. Labels prepositions";;
"Basic Living Skills	Basic Communication	BC15. Answers questions regarding personal information";;
"Basic Living Skills	Basic Communication	BC16. Answers Where questions regarding home, school, and community";;
"Basic Living Skills	Basic Communication	BC17. Answers What questions regarding home, school, and community";;
"Basic Living Skills	Basic Communication	BC18. Names people and activities previously observed";;
"Basic Living Skills	Basic Communication	BC19. Reads simple words";;
"Basic Living Skills	Basic Communication	BC20. Functional community words, universal symbols, and safety signs";;
"Basic Living Skills	Basic Communication	BC21. Writes or types own name";;
"Basic Living Skills	Basic Communication	BC22. Spells dictated words by writing or typing";;
"Basic Living Skills	Basic Communication Objective	Learner will follow at least 20 different instructions that involve walking to a location and performing actions such as: a) placing items in a specific location, b) getting and returning with requested items or, c) going to a specified person and deliver an item.";;
"Basic Living Skills	Basic Communication Objective	Learner will follow multiple known instructions in a specified sequence";;
"Basic Living Skills	Basic Communication Objective	Learner will use an electronic communication device or picture system to request desired items and activities and answer questions.";;
"Basic Living Skills	Basic Communication Objective	Learner will spontaneously ask for at least 10 items using a specific response (Spoken word or with an American Sign Language sign) when the items are not present and request others to engage in at least 10 specified activities.";;
"Basic Living Skills	Basic Communication Objective	When necessary to do an activity are missing, learner will ask for the missing item.";;
"Basic Living Skills	Basic Communication Objective	Learner will ask for help when in need of assistance.";;
"Basic Living Skills	Basic Communication Objective	Learner will ask questions to obtain information using What, Where, Who, and When questions.";;
"Basic Living Skills	Basic Communication Objective	Learner will ask questions to obtain information using How and Why questions.";;
"Basic Living Skills	Basic Communication Objective	Learner will label at least 200 objects including specific parts of objects which are commonly found in their environment.";;
"Basic Living Skills	Basic Communication Objective	Learner will label people in the environment.";;
"Basic Living Skills	Basic Communication Objective	Learner will label common ongoing actions.";;
"Basic Living Skills	Basic Communication Objective	Learner will label locations in home, school, and community.";;
"Basic Living Skills	Basic Communication Objective	Learner will use adjectives that describe objects.";;
"Basic Living Skills	Basic Communication Objective	Learner will label the position of an item in relation to other items.";;
"Basic Living Skills	Basic Communication Objective	Learner will provide answers to questions regarding personal information.";;
"Basic Living Skills	Basic Communication Objective	Learner will answer Where questions regarding items found or activities done at home, school, and the community.";;
"Basic Living Skills	Basic Communication Objective	Learner will answer What questions regarding items found in the home, school, and the community.";;
"Basic Living Skills	Basic Communication Objective	Learner will name people and their activities which have previously been observed.";;
"Basic Living Skills	Basic Communication Objective	Learner will read words.";;
"Basic Living Skills	Basic Communication Objective	Learner will read/identify functional words, universal symbols, and safety signs commonly found in the community.";;
"Basic Living Skills	Basic Communication Objective	Learner will write or type own first and last name.";;
"Basic Living Skills	Basic Communication Objective	Learner will write or type dictated words.";;
"Basic Living Skills	Grooming	GR1. Turns on and off sink faucet";;
"Basic Living Skills	Grooming	GR2. Washes hands";;
"Basic Living Skills	Grooming	GR3. Tolerates teeth being brushed by others";;
"Basic Living Skills	Grooming	GR4. Takes off and puts on cap of toothpaste";;
"Basic Living Skills	Grooming	GR5. Puts toothpaste on toothbrush";;
"Basic Living Skills	Grooming	GR6. Brushes teeth";;
"Basic Living Skills	Grooming	GR7. Rinses toothbrush";;
"Basic Living Skills	Grooming	GR8. Returns toothbrush and toothpaste to proper location";;
"Basic Living Skills	Grooming	GR9. Rinses sink";;
"Basic Living Skills	Grooming	GR10. Uses mouthwash";;
"Basic Living Skills	Grooming	GR11. Flosses teeth";;
"Basic Living Skills	Grooming	GR12. Completes oral hygiene process at least twice a day";;
"Basic Living Skills	Grooming	GR13. Regulates water temperature";;
"Basic Living Skills	Grooming	GR14. Washes and dries face";;
"Basic Living Skills	Grooming	GR15. Blows nose";;
"Basic Living Skills	Grooming	GR16. Combs or brushes hair";;
"Basic Living Skills	Grooming	GR17. Applies chap stick";;
"Basic Living Skills	Grooming	GR18. Applies lotion to body";;
"Basic Living Skills	Grooming	GR19. Clips and cleans fingernails";;
"Basic Living Skills	Grooming	GR20. Clips and cleans toenails";;
"Basic Living Skills	Grooming	GR21. Uses deodorant";;
"Basic Living Skills	Grooming	GR22. Uses bathroom mirror";;
"Basic Living Skills	Grooming	GR23. Cleans eyeglasses or sunglasses";;
"Basic Living Skills	Grooming	GR24. Packs toiletry bag for trip";;
"Basic Living Skills	Grooming	GR25. Shaves legs";;
"Basic Living Skills	Grooming	GR26. Applies make-up";;
"Basic Living Skills	Grooming	GR27. Removes make-up";;
"Basic Living Skills	Grooming	GR28. Applies nail polish to fingernails and toenails";;
"Basic Living Skills	Grooming	GR29. Shaves face";;
"Basic Living Skills	Grooming	GR30. Cleans dental/ orthodontic appliances";;
"Basic Living Skills	Grooming	GR31. Puts in and removes contact lenses";;
"Basic Living Skills	Grooming	GR32. Cares for contact lenses";;
"Basic Living Skills	Grooming	GR33. Applies acne medicine";;
"Basic Living Skills	Grooming	GR34. Puts in hearing aid(s)";;
"Basic Living Skills	Grooming Objective	Learner will turn on and off at least 3 types of faucets.";;
"Basic Living Skills	Grooming Objective	Learner will wash hands.";;
"Basic Living Skills	Grooming Objective	Learner will tolerate teeth being brushed by others for 2 minutes.";;
"Basic Living Skills	Grooming Objective	Learner will take off and replace the cap of a toothpaste tube.";;
"Basic Living Skills	Grooming Objective	Learner will neatly squeeze toothpaste onto toothbrush.";;
"Basic Living Skills	Grooming Objective	Learner will brush inside and outside of top and bottom teeth in circular motion for 2 minutes.";;
"Basic Living Skills	Grooming Objective	Learner will rinse all toothpaste out of toothbrush after brushing teeth.";;
"Basic Living Skills	Grooming Objective	Learner will routinely return toothbrush and toothpaste to proper location.";;
"Basic Living Skills	Grooming Objective	Learner will rinse sink after brushing teeth.";;
"Basic Living Skills	Grooming Objective	Learner will pour mouthwash into cup, put in mouth, and swish for 30 seconds, then spit out into sink.";;
"Basic Living Skills	Grooming Objective	Learner will floss between all teeth.";;
"Basic Living Skills	Grooming Objective	Learner will independently complete oral hygiene sequence twice a day.";;
"Basic Living Skills	Grooming Objective	Learner will adjust water temperature on at least 3 types of faucets.";;
"Basic Living Skills	Grooming Objective	Learner will wet, wash with soap, rinse, and dry face.";;
"Basic Living Skills	Grooming Objective	Learner will blow nose.";;
"Basic Living Skills	Grooming Objective	Learner will brush or comb hair as needed to maintain a neat appearance.";;
"Basic Living Skills	Grooming Objective	Learner will apply chap stick.";;
"Basic Living Skills	Grooming Objective	Learner will apply lotion to body parts as needed.";;
"Basic Living Skills	Grooming Objective	Learner will clip and clean under fingernails.";;
"Basic Living Skills	Grooming Objective	Learner will clip and clean under toenails.";;
"Basic Living Skills	Grooming Objective	Learner will apply deodorant.";;
"Basic Living Skills	Grooming Objective	Learner will look into mirror and perform necessary grooming tasks.";;
"Basic Living Skills	Grooming Objective	Learner will clean eyeglasses or sunglasses when lenses as needed.";;
"Basic Living Skills	Grooming Objective	Learner will select toiletries necessary for trip of specified number of days.";;
"Basic Living Skills	Grooming Objective	Learner will shave legs with razor.";;
"Basic Living Skills	Grooming Objective	Learner will apply make-up in an acceptable manner.";;
"Basic Living Skills	Grooming Objective	Learner will remove make-up";;
"Basic Living Skills	Grooming Objective	Learner will apply nail polish to fingernails and toenails.";;
"Basic Living Skills	Grooming Objective	Learner will shave face with a razor.";;
"Basic Living Skills	Grooming Objective	Learner will clean dental/ orthodontic appliances.";;
"Basic Living Skills	Grooming Objective	Learner will put in and remove contact lenses.";;
"Basic Living Skills	Grooming Objective	Learner will place each contact lens into solution container.";;
"Basic Living Skills	Grooming Objective	Learner will apply acne medicine to affected facial area.";;
"Basic Living Skills	Grooming Objective	Learner will put in hearing aid(s).";;
"Basic Living Skills	Health, Safety and First Aid	HS1. Remains in area";;
"Basic Living Skills	Health, Safety and First Aid	HS2. Practices water safety";;
"Basic Living Skills	Health, Safety and First Aid	HS3. Finds side of pool and hangs on";;
"Basic Living Skills	Health, Safety and First Aid	HS4. Doggie paddles";;
"Basic Living Skills	Health, Safety and First Aid	HS5. Floats in water";;
"Basic Living Skills	Health, Safety and First Aid	HS6. Labels things that could be hot";;
"Basic Living Skills	Health, Safety and First Aid	HS7. Checks to see if things are hot";;
"Basic Living Skills	Health, Safety and First Aid	HS8. Receptively identifies poisonous or dangerous household materials";;
"Basic Living Skills	Health, Safety and First Aid	HS9. States difference between a friend, acquaintance, and a stranger";;
"Basic Living Skills	Health, Safety and First Aid	HS10. Keeps doors shut and locked when stranger knocks";;
"Basic Living Skills	Health, Safety and First Aid	HS11. States various dangerous situations";;
"Basic Living Skills	Health, Safety and First Aid	HS12. Locates and retrieves first-aid kit";;
"Basic Living Skills	Health, Safety and First Aid	HS13. Stops bleeding of minor cuts";;
"Basic Living Skills	Health, Safety and First Aid	HS14. Puts on bandage";;
"Basic Living Skills	Health, Safety and First Aid	HS15. Treats minor burns";;
"Basic Living Skills	Health, Safety and First Aid	HS16. Treats burns with burn lotion";;
"Basic Living Skills	Health, Safety and First Aid	HS17. Seeks assistance for serious cuts, burns, or injuries";;
"Basic Living Skills	Health, Safety and First Aid	HS18. Retrieves and uses flashlight";;
"Basic Living Skills	Health, Safety and First Aid	HS19. Reports smoke and fire";;
"Basic Living Skills	Health, Safety and First Aid	HS20. Responds to smoke detectors and fire alarms";;
"Basic Living Skills	Health, Safety and First Aid	HS21. States how to exit in case of fire";;
"Basic Living Skills	Health, Safety and First Aid	HS22. Calls 911 and reports key facts";;
"Basic Living Skills	Health, Safety and First Aid	HS23. Protects self from sun";;
"Basic Living Skills	Health, Safety and First Aid	HS24. Applies hand sanitizer";;
"Basic Living Skills	Health, Safety and First Aid	HS25. Maintains hydration";;
"Basic Living Skills	Health, Safety and First Aid	HS26. Reports pain level on smiley chart";;
"Basic Living Skills	Health, Safety and First Aid	HS27. Verbally reports pain";;
"Basic Living Skills	Health, Safety and First Aid	HS28. Determines if fever is present";;
"Basic Living Skills	Health, Safety and First Aid	HS29. Swallows liquid medicine";;
"Basic Living Skills	Health, Safety and First Aid	HS30. Swallows pills";;
"Basic Living Skills	Health, Safety and First Aid	HS31. Cooperates with physical examinations";;
"Basic Living Skills	Health, Safety and First Aid	HS32. Cooperates with dental examination and teeth cleaning";;
"Basic Living Skills	Health, Safety and First Aid	HS33. Receptive medicine identification";;
"Basic Living Skills	Health, Safety and First Aid	HS34. Expressive identification of non-prescription medicine";;
"Basic Living Skills	Health, Safety and First Aid	HS35. Describes medicines used for symptoms";;
"Basic Living Skills	Health, Safety and First Aid	HS36. States conditions requiring a doctor";;
"Basic Living Skills	Health, Safety and First Aid	HS37. Avoids allergens";;
"Basic Living Skills	Health, Safety and First Aid	HS38. Informs others of personal medical conditions, allergies, etc.";;
"Basic Living Skills	Health, Safety and First Aid	HS39. Uses asthma inhaler";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will stay in physical proximity of caregiver without continuous surveillance in public settings.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will demonstrate safe behavior around water including swimming pools, hot tubs, lakes, rivers, beaches, and water parks.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	If learner falls into pool, learner will go to side of pool and hang on.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will doggie paddle across the pool.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will float on back.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will label at least 8 things that could be hot.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will carefully check temperature of sources of heat and state if they are hot.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will receptively identify at least 6 poisonous or dangerous household products.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will state characteristics of a friend, acquaintance, and a stranger.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will only open a door for people that are known to be safe.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will state common dangerous situations in different situations or settings.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will quickly locate and retrieve first-aid kit when needed.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will apply pressure to stop bleeding.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will clean minor cuts and cover with a bandage.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will put a minor burn under cool running water.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will apply burn lotion to burned areas of skin.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will seek immediate assistance from others and identify the nature of the problem that requires treatment by others.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will locate and operate a flashlight when needed.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will detect the presence of smoke or fire and tell others.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will alert others and exit building when fire alarm/smoke detector is heard.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will state how to evacuate when there is smoke or fire in a building.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will demonstrate practice calls to dial 911 and report key facts with enough detail to secure needed assistance.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will protect self from the sun.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will apply hand sanitizer.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will state the need to be hydrated and drink adequate amounts of water to help prevent dehydration.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will report level of pain on smiley-face chart or a 1 to 10 rating scale.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will verbally report pain.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will determine if fever is present.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will pour correct amount and swallow liquid medicine.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will swallow various sized pills given by caregiver.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will allow medical staff to perform a simple physical examination without protest.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will cooperate with a dental examination and teeth cleaning.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will receptively identify 6 common non-prescription medicines.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will label 6 common non-prescription medicines.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will state which non-prescription medicine is used to treat particular symptoms.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will state symptoms and conditions which would require seeing a doctor.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will avoid allergic items and check food labels as necessary to ensure that no allergens are contacted or consumed.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	When medically necessary, learner will inform others of medical conditions, allergies and/or medications without being asked.";;
"Basic Living Skills	Health, Safety and First Aid Objectives	Learner will independently use asthma inhaler and recognize when a canister is empty and change canister.";;
"Basic Living Skills	Nighttime Routines	NR1. Goes to bed when told";;
"Basic Living Skills	Nighttime Routines	NR2. Goes to bed at set time";;
"Basic Living Skills	Nighttime Routines	NR3. Gathers desired bedtime items";;
"Basic Living Skills	Nighttime Routines	NR4. Closes drapes or windows";;
"Basic Living Skills	Nighttime Routines	NR5. Turns on or plug in night light";;
"Basic Living Skills	Nighttime Routines	NR6. Turns off lights";;
"Basic Living Skills	Nighttime Routines	NR7. Falls asleep without an adult present";;
"Basic Living Skills	Nighttime Routines	NR8. Sleeps in own bed all night";;
"Basic Living Skills	Nighttime Routines	NR9. Straightens bed in morning";;
"Basic Living Skills	Nighttime Routines	NR10. Sets alarm clock";;
"Basic Living Skills	Nighttime Routines	NR11. Follows all steps to get ready for bed";;
"Basic Living Skills	Nighttime Routines	NR12. Independently goes to bed at appropriate time";;
"Basic Living Skills	Nighttime Routines	NR13. Sleeps for an adequate amount of time";;
"Basic Living Skills	Nighttime Routines	NR14. Gets up independently in the morning when the alarm rings";;
"Basic Living Skills	Nighttime Routines Objectives	Learner will go to bed independently within 10 minutes of being told.";;
"Basic Living Skills	Nighttime Routines Objectives	Learner will go to bed each night within 15 minutes of a set time.";;
"Basic Living Skills	Nighttime Routines Objectives	Learner will gather desired items for bedtime.";;
"Basic Living Skills	Nighttime Routines Objectives	Learner will adjust windows and window blinds or drapes prior to going to bed.";;
"Basic Living Skills	Nighttime Routines Objectives	Learner will turn on or plug in night light prior to going to bed.";;
"Basic Living Skills	Nighttime Routines Objectives	Learner will turn off lights prior to going to bed.";;
"Basic Living Skills	Nighttime Routines Objectives	Learner will fall asleep by self after being tucked into own bed by caregiver.";;
"Basic Living Skills	Nighttime Routines Objectives	Learner will fall asleep and remain in own bed throughout the night.";;
"Basic Living Skills	Nighttime Routines Objectives	Learner will pull up sheets and roughly straighten blankets and pillows.";;
"Basic Living Skills	Nighttime Routines Objectives	Learner will adjust and set time on an alarm clock prior to going to bed.";;
"Basic Living Skills	Nighttime Routines Objectives	Learner will follow all steps to get ready for bed.";;
"Basic Living Skills	Nighttime Routines Objectives	Learner will go to bed at appropriate time.";;
"Basic Living Skills	Nighttime Routines Objectives	Learner will sleep for an adequate amount of time.";;
"Basic Living Skills	Nighttime Routines Objectives	Learner will get up independently in the morning when the alarm rings.";;
"Basic Living Skills	Dressing	DR1. Pants up and down";;
"Basic Living Skills	Dressing	DR2. Pants on and off";;
"Basic Living Skills	Dressing	DR3. Shoes on and off";;
"Basic Living Skills	Dressing	DR4. Boots on and off";;
"Basic Living Skills	Dressing	DR5. Socks on and off";;
"Basic Living Skills	Dressing	DR6. Ties shoes";;
"Basic Living Skills	Dressing	DR7. Pullover shirts on and off";;
"Basic Living Skills	Dressing	DR8. Buttoning shirts on and off";;
"Basic Living Skills	Dressing	DR9. Fastens buttons";;
"Basic Living Skills	Dressing	DR10. Buttons and unbuttons shirt sleeves";;
"Basic Living Skills	Dressing	DR11. Coat on and off";;
"Basic Living Skills	Dressing	DR12. Puts on various hats";;
"Basic Living Skills	Dressing	DR13. Puts on and takes off mittens";;
"Basic Living Skills	Dressing	DR14. Puts on and takes off gloves";;
"Basic Living Skills	Dressing	DR15. Unzips zippers";;
"Basic Living Skills	Dressing	DR16. Fastens and zips a zipper";;
"Basic Living Skills	Dressing	DR17. Fastens snaps";;
"Basic Living Skills	Dressing	DR18. Hooks and unhooks fasteners";;
"Basic Living Skills	Dressing	DR19. Attaches Velcro";;
"Basic Living Skills	Dressing	DR20. Puts on a belt";;
"Basic Living Skills	Dressing	DR21. Fastens and unfastens buckles on a belt";;
"Basic Living Skills	Dressing	DR22. Puts on clothing right-side out";;
"Basic Living Skills	Dressing	DR23. Adjusts clothing when needed";;
"Basic Living Skills	Dressing	DR24. Identifies clothes that do not fit properly";;
"Basic Living Skills	Dressing	DR25. Identifies clothes worn for different settings and occasions";;
"Basic Living Skills	Dressing	DR26. Wears shoes according to activity or weather";;
"Basic Living Skills	Dressing	DR27. Selects clothing appropriate to climate";;
"Basic Living Skills	Dressing	DR28. Matches clothing styles and colors";;
"Basic Living Skills	Dressing	DR29. Selects own clothes and dresses self";;
"Basic Living Skills	Dressing	DR30. Brings extra clothes as needed for an outing";;
"Basic Living Skills	Dressing	DR31. Selects clothes to pack for a trip";;
"Basic Living Skills	Dressing	DR32. Packs an overnight bag";;
"Basic Living Skills	Dressing	DR33. Bra on and off";;
"Basic Living Skills	Dressing	DR34. Puts on and removes earrings";;
"Basic Living Skills	Dressing	DR35. Keeps earrings clean";;
"Basic Living Skills	Dressing	DR36. Puts on clip-on tie";;
"Basic Living Skills	Dressing	DR37. Ties a neck tie";;
"Basic Living Skills	Dressing Objectives	Learner will pull pants up and down (not take off and put on).";;
"Basic Living Skills	Dressing Objectives	Learner will put on and remove pants (fastening buttons, snaps and zippers not required).";;
"Basic Living Skills	Dressing Objectives	Learner will put on and remove shoes (tying laces is not required).";;
"Basic Living Skills	Dressing Objectives	Learner will put on and take off boots.";;
"Basic Living Skills	Dressing Objectives	Learner will put on and remove socks.";;
"Basic Living Skills	Dressing Objectives	Learner will tie shoes without assistance.";;
"Basic Living Skills	Dressing Objectives	Learner will put on and remove pullover shirts.";;
"Basic Living Skills	Dressing Objectives	Learner will put on and remove buttoning types of shirts without assistance (fastening buttons not required).";;
"Basic Living Skills	Dressing Objectives	Learner will fasten buttons on clothing.";;
"Basic Living Skills	Dressing Objectives	Learner will button and unbutton shirt sleeves.";;
"Basic Living Skills	Dressing Objectives	Learner will put on and remove coat without assistance (fastening buttons, snaps and zippers not required).";;
"Basic Living Skills	Dressing Objectives	Learner will put on a variety of hats.";;
"Basic Living Skills	Dressing Objectives	Learner will put on and take off mittens.";;
"Basic Living Skills	Dressing Objectives	Learner will put on and take off gloves.";;
"Basic Living Skills	Dressing Objectives	Learner will unzip a zipper on an article of clothing, backpack, or similar item.";;
"Basic Living Skills	Dressing Objectives	Learner will start, zip, and unzip a zipper on a backpack or similar item.";;
"Basic Living Skills	Dressing Objectives	Learner will fasten and unfasten snaps on an article of clothing.";;
"Basic Living Skills	Dressing Objectives	Learner will hook fasteners on an article of clothing.";;
"Basic Living Skills	Dressing Objectives	Learner will attach and unattach Velcro on an article of clothing.";;
"Basic Living Skills	Dressing Objectives	Learner will put on a belt.";;
"Basic Living Skills	Dressing Objectives	Learner will fasten and unfasten belt buckles.";;
"Basic Living Skills	Dressing Objectives	Learner will put on clothing right-side out.";;
"Basic Living Skills	Dressing Objectives	Learner will adjust clothing as needed.";;
"Basic Living Skills	Dressing Objectives	Learner will identify clothes that do not fit properly.";;
"Basic Living Skills	Dressing Objectives	Learner will identify clothes that are worn in different settings and occasions.";;
"Basic Living Skills	Dressing Objectives	Learner will wear shoes according to activity or weather.";;
"Basic Living Skills	Dressing Objectives	Learner will choose appropriate clothes based on weather.";;
"Basic Living Skills	Dressing Objectives	Learner will choose clothes that match color and style.";;
"Basic Living Skills	Dressing Objectives	Learner will select appropriate clothing items to wear and get dressed.";;
"Basic Living Skills	Dressing Objectives	Learner will bring extra clothes as needed for an outing.";;
"Basic Living Skills	Dressing Objectives	Learner will select all required clothing items for overnight trip.";;
"Basic Living Skills	Dressing Objectives	Learner will neatly pack clothing and toiletry items into a suitcase or duffle bag.";;
"Basic Living Skills	Dressing Objectives	Learner will put on and remove bra.";;
"Basic Living Skills	Dressing Objectives	Learner will put on and remove earrings.";;
"Basic Living Skills	Dressing Objectives	Learner will clean earrings and keep earrings clean when putting in or removing.";;
"Basic Living Skills	Dressing Objectives	Learner will put on a clip-on necktie.";;
"Basic Living Skills	Dressing Objectives	Learner will put on and tie a necktie.";;
"Basic Living Skills	Toileting	TL1. Consistent pre-toilet behavior";;
"Basic Living Skills	Toileting	TL2. Correctly answers wet/dry/soiled";;
"Basic Living Skills	Toileting	TL3. Expresses when wet";;
"Basic Living Skills	Toileting	TL4. Expresses when soiled";;
"Basic Living Skills	Toileting	TL5. Raises and lowers seat before using toilet";;
